os,vendedor,carne,linha_origem,tabela_tipo,aba_origem,valores_brutos,data_movimento,loja_celula,loja_arquivo,arquivo_origem,os_numero
3677,ROSÂNGELA,Não,15,OS_ENTREGUES_DIA,13,"[3677, 'ROSÂNGELA', 'Não']",2024-08-13 00:00:00,,rio_pequeno,ago_24.xlsx,3677
3672,ROGÉRIO,Não,15,OS_ENTREGUES_DIA,14,"[3672, 'ROGÉRIO', 'Não']",2024-08-14 00:00:00,,rio_pequeno,ago_24.xlsx,3672
3678,ROGÉRIO,Não,16,OS_ENTREGUES_DIA,14,"[3678, 'ROGÉRIO', 'Não']",2024-08-14 00:00:00,,rio_pequeno,ago_24.xlsx,3678
3657,ROSÂNGELA,Não,17,OS_ENTREGUES_DIA,14,"[3657, 'ROSÂNGELA', 'Não']",2024-08-14 00:00:00,,rio_pequeno,ago_24.xlsx,3657
3684,ROGÉRIO,Não,18,OS_ENTREGUES_DIA,14,"[3684, 'ROGÉRIO', 'Não']",2024-08-14 00:00:00,,rio_pequeno,ago_24.xlsx,3684
3685,ROGÉRIO,Não,15,OS_ENTREGUES_DIA,15,"[3685, 'ROGÉRIO', 'Não']",2024-08-15 00:00:00,,rio_pequeno,ago_24.xlsx,3685
3667,ROGÉRIO,Não,16,OS_ENTREGUES_DIA,15,"[3667, 'ROGÉRIO', 'Não']",2024-08-15 00:00:00,,rio_pequeno,ago_24.xlsx,3667
3692,ROSÂNGELA,Não,17,OS_ENTREGUES_DIA,15,"[3692, 'ROSÂNGELA', 'Não']",2024-08-15 00:00:00,,rio_pequeno,ago_24.xlsx,3692
3693,ROSÂNGELA,Não,18,OS_ENTREGUES_DIA,15,"[3693, 'ROSÂNGELA', 'Não']",2024-08-15 00:00:00,,rio_pequeno,ago_24.xlsx,3693
3682,ROGÉRIO,Não,19,OS_ENTREGUES_DIA,15,"[3682, 'ROGÉRIO', 'Não']",2024-08-15 00:00:00,,rio_pequeno,ago_24.xlsx,3682
3681,ROGÉRIO,Não,20,OS_ENTREGUES_DIA,15,"[3681, 'ROGÉRIO', 'Não']",2024-08-15 00:00:00,,rio_pequeno,ago_24.xlsx,3681
3569,ROGÉRIO,Não,15,OS_ENTREGUES_DIA,16,"[3569, 'ROGÉRIO', 'Não']",2024-08-16 00:00:00,,rio_pequeno,ago_24.xlsx,3569
3665,ROGÉRIO,Não,15,OS_ENTREGUES_DIA,17,"[3665, 'ROGÉRIO', 'Não']",2024-08-17 00:00:00,,rio_pequeno,ago_24.xlsx,3665
3634,ROSÂNGELA,Sim,16,OS_ENTREGUES_DIA,17,"[3634, 'ROSÂNGELA', 'Sim']",2024-08-17 00:00:00,,rio_pequeno,ago_24.xlsx,3634
3680,ROGÉRIO,Não,15,OS_ENTREGUES_DIA,19,"[3680, 'ROGÉRIO', 'Não']",2024-08-19 00:00:00,,rio_pequeno,ago_24.xlsx,3680
3690,ROGÉRIO,Não,15,OS_ENTREGUES_DIA,20,"[3690, 'ROGÉRIO', 'Não']",2024-08-20 00:00:00,,rio_pequeno,ago_24.xlsx,3690
